id,source_id,source_type,food_id,orig_food_id,orig_food_common_name,category,orig_food_part,orig_source_id,orig_source_name,orig_content,orig_min,orig_max,orig_unit,orig_citation,citation,citation_type,creator_id,updater_id,created_at,updated_at,orig_method,orig_unit_expression,standard_content,preparation_type,export
122,1,Nutrient,97,543,Bay,Herbs and Spices,Fruit,204,FAT,0.0,,,,,DUKE,DATABASE,,,2014-11-05 13:42:12 UTC,2019-12-11 20:23:58 UTC,,,,other,0
340,1,Nutrient,441,1968,Pinyon Pine,Nuts,Seed,204,FAT,62851.75,60900.0,64803.5,mg/100g,,DUKE,DATABASE,,,2014-11-05 13:42:14 UTC,2019-12-11 20:23:59 UTC,,,62851.75,other,0
387,1,Nutrient,802,1095,Ucahuba,Herbs and Spices,Seed,204,FAT,64000.0,60000.0,68000.0,mg/100g,,DUKE,DATABASE,,,2014-11-05 13:42:15 UTC,2019-12-11 20:23:59 UTC,,,64000.0,other,0
400,2,Nutrient,4,9148,"Kiwifruit, green, raw",Fruits,,203,Protein,1140.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,1140.0,raw,0
401,2,Nutrient,4,9445,"Kiwifruit, gold, raw",Fruits,,203,Protein,1230.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,1230.0,raw,0
402,2,Nutrient,4,29,Kiwi,Fruits,Fruit,203,PROTEIN,3536.5,790.0,6283.0,mg/100g,,DUKE,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,3536.5,raw,0
411,2,Nutrient,5,2026,"Spices, onion powder",Vegetables,,203,Protein,10410.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,10410.0,dried or powder,0
412,2,Nutrient,5,11282,"Onions, raw",Vegetables,,203,Protein,1100.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,1100.0,raw,0
413,2,Nutrient,5,11283,"Onions, cooked, boiled, drained, without salt",Vegetables,,203,Protein,1360.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,1360.0,cooked,0
414,2,Nutrient,5,11284,"Onions, dehydrated flakes",Vegetables,,203,Protein,8950.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,8950.0,dried or powder,0
415,2,Nutrient,5,11285,"Onions, canned, solids and liquids",Vegetables,,203,Protein,850.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,850.0,,0
416,2,Nutrient,5,11286,"Onions, yellow, sauteed",Vegetables,,203,Protein,950.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,950.0,cooked,0
417,2,Nutrient,5,11287,"Onions, frozen, chopped, unprepared",Vegetables,,203,Protein,790.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,790.0,"raw, frozen",0
418,2,Nutrient,5,11288,"Onions, frozen, chopped, cooked, boiled, drained, without salt",Vegetables,,203,Protein,770.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,770.0,cooked,0
419,2,Nutrient,5,11289,"Onions, frozen, whole, unprepared",Vegetables,,203,Protein,890.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,890.0,"raw, frozen",0
420,2,Nutrient,5,11290,"Onions, frozen, whole, cooked, boiled, drained, without salt",Vegetables,,203,Protein,710.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,710.0,cooked,0
421,2,Nutrient,5,11291,"Onions, spring or scallions (includes tops and bulb), raw",Vegetables,,203,Protein,1830.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,1830.0,raw,0
422,2,Nutrient,5,11292,"Onions, young green, tops only",Vegetables,,203,Protein,970.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,970.0,raw,0
423,2,Nutrient,5,11294,"Onions, sweet, raw",Vegetables,,203,Protein,800.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,800.0,raw,0
424,2,Nutrient,5,11295,"Onion rings, breaded, par fried, frozen, unprepared",Vegetables,,203,Protein,3150.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,3150.0,,0
425,2,Nutrient,5,11296,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",Vegetables,,203,Protein,5340.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,5340.0,,0
426,2,Nutrient,5,11805,"Onions, cooked, boiled, drained, with salt",Vegetables,,203,Protein,1360.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,1360.0,,0
427,2,Nutrient,5,11806,"Onions, frozen, chopped, cooked, boiled, drained, with salt",Vegetables,,203,Protein,770.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,770.0,,0
428,2,Nutrient,5,11807,"Onions, frozen, whole, cooked, boiled, drained, with salt",Vegetables,,203,Protein,710.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,710.0,,0
429,2,Nutrient,5,21130,"Fast foods, onion rings, breaded and fried",Vegetables,,203,Protein,4460.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,4460.0,,0
438,2,Nutrient,8,2020,"Spices, garlic powder",Herbs and Spices,,203,Protein,16550.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,16550.0,dried or powder,0
443,2,Nutrient,9,11615,"Chives, freeze-dried",Herbs and Spices,,203,Protein,21200.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,21200.0,"other (raw, frozen)",0
444,2,Nutrient,9,55,Chives,Herbs and Spices,Leaf,203,PROTEIN,18400.0,1800.0,35000.0,mg/100g,,DUKE,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,18400.0,raw,0
449,2,Nutrient,11,12085,"Nuts, cashew nuts, dry roasted, without salt added",Nuts,,203,Protein,15310.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,15310.0,,0
450,2,Nutrient,11,12086,"Nuts, cashew nuts, oil roasted, without salt added",Nuts,,203,Protein,16840.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,16840.0,,0
451,2,Nutrient,11,12087,"Nuts, cashew nuts, raw",Nuts,,203,Protein,18220.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,18220.0,raw,0
452,2,Nutrient,11,12088,"Nuts, cashew butter, plain, without salt added",Nuts,,203,Protein,17560.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,17560.0,,0
453,2,Nutrient,11,12585,"Nuts, cashew nuts, dry roasted, with salt added",Nuts,,203,Protein,15310.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,15310.0,,0
454,2,Nutrient,11,12586,"Nuts, cashew nuts, oil roasted, with salt added",Nuts,,203,Protein,16840.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,16840.0,,0
455,2,Nutrient,11,12588,"Nuts, cashew butter, plain, with salt added",Nuts,,203,Protein,17560.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,17560.0,,0
465,2,Nutrient,12,9266,"Pineapple, raw, all varieties",Fruits,,203,Protein,540.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,540.0,raw,0
466,2,Nutrient,12,9267,"Pineapple, canned, water pack, solids and liquids",Fruits,,203,Protein,430.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,430.0,,0
467,2,Nutrient,12,9268,"Pineapple, canned, juice pack, solids and liquids",Fruits,,203,Protein,420.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,420.0,,0
468,2,Nutrient,12,9269,"Pineapple, canned, light syrup pack, solids and liquids",Fruits,,203,Protein,360.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,360.0,,0
469,2,Nutrient,12,9270,"Pineapple, canned, heavy syrup pack, solids and liquids",Fruits,,203,Protein,350.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,350.0,,0
470,2,Nutrient,12,9271,"Pineapple, canned, extra heavy syrup pack, solids and liquids",Fruits,,203,Protein,340.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,340.0,,0
471,2,Nutrient,12,9272,"Pineapple, frozen, chunks, sweetened",Fruits,,203,Protein,400.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,400.0,,0
472,2,Nutrient,12,9273,"Pineapple juice, canned, unsweetened, without added ascorbic acid",Fruits,,203,Protein,360.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,360.0,,0
473,2,Nutrient,12,9274,"Pineapple juice, frozen concentrate, unsweetened, undiluted",Fruits,,203,Protein,1300.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,1300.0,beverage (frozen concentrated),0
474,2,Nutrient,12,9275,"Pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water",Fruits,,203,Protein,400.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,400.0,beverage (frozen concentrated),0
475,2,Nutrient,12,9354,"Pineapple, canned, juice pack, drained",Fruits,,203,Protein,510.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,510.0,,0
476,2,Nutrient,12,9409,"Pineapple juice, canned, unsweetened, with added ascorbic acid",Fruits,,203,Protein,360.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,360.0,,0
477,2,Nutrient,12,9429,"Pineapple, raw, traditional varieties",Fruits,,203,Protein,550.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,550.0,raw,0
478,2,Nutrient,12,9430,"Pineapple, raw, extra sweet variety",Fruits,,203,Protein,530.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,530.0,raw,0
479,2,Nutrient,12,74,Pineapple,Fruits,Fruit,203,PROTEIN,2950.0,400.0,5500.0,mg/100g,,DUKE,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,2950.0,raw,0
484,2,Nutrient,13,2016,"Spices, dill seed",Herbs and Spices,,203,Protein,15980.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,15980.0,dried or powder,0
485,2,Nutrient,13,2017,"Spices, dill weed, dried",Herbs and Spices,,203,Protein,19960.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,19960.0,dried or powder,0
486,2,Nutrient,13,2045,"Dill weed, fresh",Herbs and Spices,,203,Protein,3460.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,3460.0,raw,0
489,2,Nutrient,14,9086,"Custard-apple, (bullock's-heart), raw",Fruits,,203,Protein,1700.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,1700.0,raw,0
490,2,Nutrient,14,92,Custard Apple,Fruits,Fruit,203,PROTEIN,5035.0,1170.0,8900.0,mg/100g,,DUKE,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,5035.0,raw,0
493,2,Nutrient,15,2007,"Spices, celery seed",Herbs and Spices,,203,Protein,18070.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,18070.0,dried or powder,0
494,2,Nutrient,15,11141,"Celeriac, raw",Herbs and Spices,,203,Protein,1500.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,1500.0,raw,0
495,2,Nutrient,15,11142,"Celeriac, cooked, boiled, drained, without salt",Herbs and Spices,,203,Protein,960.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,960.0,cooked,0
497,2,Nutrient,15,11144,"Celery, cooked, boiled, drained, without salt",Herbs and Spices,,203,Protein,830.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,830.0,cooked,0
498,2,Nutrient,15,11763,"Celeriac, cooked, boiled, drained, with salt",Herbs and Spices,,203,Protein,960.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,960.0,,0
499,2,Nutrient,15,11764,"Celery, cooked, boiled, drained, with salt",Herbs and Spices,,203,Protein,830.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,830.0,,0
500,2,Nutrient,15,44055,"Celery flakes, dried",Herbs and Spices,,203,Protein,11300.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:17 UTC,2019-12-11 20:23:59 UTC,,,11300.0,dried or powder,0
513,2,Nutrient,16,4042,"Oil, peanut, salad or cooking",Nuts,,203,Protein,0.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,0.0,Oil,0
514,2,Nutrient,16,16087,"Peanuts, all types, raw",Nuts,,203,Protein,25800.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,25800.0,raw,0
515,2,Nutrient,16,16088,"Peanuts, all types, cooked, boiled, with salt",Nuts,,203,Protein,13500.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,13500.0,,0
516,2,Nutrient,16,16089,"Peanuts, all types, oil-roasted, with salt",Nuts,,203,Protein,28030.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,28030.0,,0
517,2,Nutrient,16,16090,"Peanuts, all types, dry-roasted, with salt",Nuts,,203,Protein,23680.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,23680.0,,0
518,2,Nutrient,16,16091,"Peanuts, spanish, raw",Nuts,,203,Protein,26150.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,26150.0,raw,0
519,2,Nutrient,16,16092,"Peanuts, spanish, oil-roasted, with salt",Nuts,,203,Protein,28010.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,28010.0,,0
520,2,Nutrient,16,16093,"Peanuts, valencia, raw",Nuts,,203,Protein,25090.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,25090.0,raw,0
521,2,Nutrient,16,16094,"Peanuts, valencia, oil-roasted, with salt",Nuts,,203,Protein,27040.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,27040.0,,0
522,2,Nutrient,16,16095,"Peanuts, virginia, raw",Nuts,,203,Protein,25190.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,25190.0,raw,0
523,2,Nutrient,16,16096,"Peanuts, virginia, oil-roasted, with salt",Nuts,,203,Protein,25870.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,25870.0,,0
524,2,Nutrient,16,16097,"Peanut butter, chunk style, with salt",Nuts,,203,Protein,24060.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,24060.0,,0
525,2,Nutrient,16,16098,"Peanut butter, smooth style, with salt",Nuts,,203,Protein,25090.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,25090.0,,0
526,2,Nutrient,16,16099,"Peanut flour, defatted",Nuts,,203,Protein,52200.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,52200.0,dried or powder,0
527,2,Nutrient,16,16100,"Peanut flour, low fat",Nuts,,203,Protein,33800.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,33800.0,dried or powder,0
528,2,Nutrient,16,16149,"Peanut spread, reduced sugar",Nuts,,203,Protein,24800.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,24800.0,,0
529,2,Nutrient,16,16150,"Peanut butter, smooth, reduced fat",Nuts,,203,Protein,25900.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,25900.0,,0
530,2,Nutrient,16,16155,"Peanut butter, smooth, vitamin and mineral fortified",Nuts,,203,Protein,25720.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,25720.0,,0
531,2,Nutrient,16,16156,"Peanut butter, chunky, vitamin and mineral fortified",Nuts,,203,Protein,26060.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,26060.0,,0
532,2,Nutrient,16,16167,"USDA Commodity, Peanut Butter, smooth",Nuts,,203,Protein,21930.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,21930.0,,0
533,2,Nutrient,16,16389,"Peanuts, all types, oil-roasted, without salt",Nuts,,203,Protein,26350.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,26350.0,cooked,0
534,2,Nutrient,16,16390,"Peanuts, all types, dry-roasted, without salt",Nuts,,203,Protein,23680.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,23680.0,cooked,0
535,2,Nutrient,16,16392,"Peanuts, spanish, oil-roasted, without salt",Nuts,,203,Protein,28010.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,28010.0,cooked,0
536,2,Nutrient,16,16394,"Peanuts, valencia, oil-roasted, without salt",Nuts,,203,Protein,27040.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,27040.0,cooked,0
537,2,Nutrient,16,16396,"Peanuts, virginia, oil-roasted, without salt",Nuts,,203,Protein,25870.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,25870.0,cooked,0
538,2,Nutrient,16,16397,"Peanut butter, chunk style, without salt",Nuts,,203,Protein,24060.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,24060.0,,0
539,2,Nutrient,16,16398,"Peanut butter, smooth style, without salt",Nuts,,203,Protein,25090.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,25090.0,,0
540,2,Nutrient,16,16399,"Peanut butter with omega-3, creamy",Nuts,,203,Protein,24470.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,24470.0,,0
541,2,Nutrient,16,21337,"McDONALD'S, Peanuts (for Sundaes)",Nuts,,203,Protein,28040.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,28040.0,,0
542,2,Nutrient,16,42291,"Peanut butter, reduced sodium",Nuts,,203,Protein,24000.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,24000.0,,0
546,2,Nutrient,17,11104,"Burdock root, raw",Vegetables,,203,Protein,1530.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,1530.0,raw,0
547,2,Nutrient,17,11105,"Burdock root, cooked, boiled, drained, without salt",Vegetables,,203,Protein,2090.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,2090.0,cooked,0
548,2,Nutrient,17,11747,"Burdock root, cooked, boiled, drained, with salt",Vegetables,,203,Protein,2090.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,2090.0,,0
553,2,Nutrient,18,2055,"Horseradish, prepared",Herbs and Spices,,203,Protein,1180.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,1180.0,,0
556,2,Nutrient,19,2041,"Spices, tarragon, dried",Herbs and Spices,,203,Protein,22770.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,22770.0,dried or powder,0
570,2,Nutrient,21,11011,"Asparagus, raw",Vegetables,,203,Protein,2200.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,2200.0,raw,0
571,2,Nutrient,21,11012,"Asparagus, cooked, boiled, drained",Vegetables,,203,Protein,2400.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,2400.0,cooked,0
572,2,Nutrient,21,11013,"Asparagus, canned, regular pack, solids and liquids",Vegetables,,203,Protein,1800.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,1800.0,,0
573,2,Nutrient,21,11015,"Asparagus, canned, drained solids",Vegetables,,203,Protein,2140.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,2140.0,,0
574,2,Nutrient,21,11018,"Asparagus, frozen, unprepared",Vegetables,,203,Protein,3230.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,3230.0,"raw, frozen",0
575,2,Nutrient,21,11019,"Asparagus, frozen, cooked, boiled, drained, without salt",Vegetables,,203,Protein,2950.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,2950.0,cooked,0
576,2,Nutrient,21,11705,"Asparagus, cooked, boiled, drained, with salt",Vegetables,,203,Protein,2400.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,2400.0,cooked,0
577,2,Nutrient,21,11707,"Asparagus, canned, no salt added, solids and liquids",Vegetables,,203,Protein,1800.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,1800.0,,0
578,2,Nutrient,21,11709,"Asparagus, frozen, cooked, boiled, drained, with salt",Vegetables,,203,Protein,2950.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,2950.0,cooked,0
589,2,Nutrient,22,4588,"Oil, oat",Cereals and cereal products,,203,Protein,0.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,0.0,Oil,0
590,2,Nutrient,22,20033,"Oat bran, raw",Cereals and cereal products,,203,Protein,17300.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,17300.0,raw,0
591,2,Nutrient,22,20034,"Oat bran, cooked",Cereals and cereal products,,203,Protein,3210.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,3210.0,cooked,0
593,2,Nutrient,22,20132,"Oat flour, partially debranned",Cereals and cereal products,,203,Protein,14660.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,14660.0,dried or powder,0
598,2,Nutrient,23,9060,"Carambola, (starfruit), raw",Fruits,,203,Protein,1040.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,1040.0,raw,0
599,2,Nutrient,23,1207,Carambola,Fruits,Fruit,203,PROTEIN,3800.0,300.0,7300.0,mg/100g,,DUKE,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,3800.0,other (raw),0
602,2,Nutrient,24,12078,"Nuts, brazilnuts, dried, unblanched",Nuts,,203,Protein,14320.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,14320.0,dried or powder,0
603,2,Nutrient,24,156,Brazilnut,Nuts,Seed,203,PROTEIN,14596.0,13882.0,15310.0,mg/100g,,DUKE,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,14596.0,other,0
604,2,Nutrient,25,11080,"Beets, raw",Vegetables,,203,Protein,1610.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,1610.0,raw,0
605,2,Nutrient,25,11081,"Beets, cooked, boiled, drained",Vegetables,,203,Protein,1680.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,1680.0,cooked,0
606,2,Nutrient,25,11082,"Beets, canned, regular pack, solids and liquids",Vegetables,,203,Protein,730.0,,,mg/100g,,USDA,DATABASE,,,2014-11-05 13:42:18 UTC,2019-12-11 20:23:59 UTC,,,730.0,,0
